Make,Model,Year,Engine Fuel Type,Engine HP,Transmission Type,Driven_Wheels,Vehicle Size,Vehicle Style,Popularity,MSRP,Price(Ksh),Engine CC(ltrs)
Audi,A7,2015,diesel,240,AUTOMATIC,all wheel drive,Large,Sedan,3105,68300,7513000,3.1
Audi,A7,2016,diesel,240,AUTOMATIC,all wheel drive,Large,Sedan,3105,70400,7744000,2
Audi,A7,2016,premium unleaded (required),333,AUTOMATIC,all wheel drive,Large,Sedan,3105,68300,7513000,2
Audi,A7,2017,premium unleaded (required),333,AUTOMATIC,all wheel drive,Large,Sedan,3105,68800,7568000,2
Audi,A8,2016,diesel,240,AUTOMATIC,all wheel drive,Large,Sedan,3105,85200,9372000,3
Audi,A8,2016,premium unleaded (required),500,AUTOMATIC,all wheel drive,Large,Sedan,3105,137900,15169000,3
Audi,A8,2016,premium unleaded (required),450,AUTOMATIC,all wheel drive,Large,Sedan,3105,90500,9955000,3
Audi,A8,2016,premium unleaded (required),333,AUTOMATIC,all wheel drive,Large,Sedan,3105,81500,8965000,3
Audi,A8,2017,premium unleaded (required),450,AUTOMATIC,all wheel drive,Large,Sedan,3105,91500,10065000,3
Audi,A8,2017,premium unleaded (required),333,AUTOMATIC,all wheel drive,Large,Sedan,3105,82500,9075000,3
Audi,allroad quattro,2003,regular unleaded,250,MANUAL,all wheel drive,Midsize,Wagon,3105,39950,4394500,3
Audi,allroad quattro,2004,regular unleaded,300,AUTOMATIC,all wheel drive,Midsize,Wagon,3105,46950,5164500,3
Audi,allroad quattro,2004,regular unleaded,250,AUTOMATIC,all wheel drive,Midsize,Wagon,3105,39950,4394500,3
Audi,allroad quattro,2005,regular unleaded,250,MANUAL,all wheel drive,Midsize,Wagon,3105,40250,4427500,2.2
Audi,allroad quattro,2005,regular unleaded,300,AUTOMATIC,all wheel drive,Midsize,Wagon,3105,47250,5197500,3
Audi,allroad,2014,premium unleaded (recommended),220,AUTOMATIC,all wheel drive,Midsize,Wagon,3105,40700,4477000,3
Audi,allroad,2015,premium unleaded (recommended),220,AUTOMATIC,all wheel drive,Midsize,Wagon,3105,44500,4895000,3
Audi,allroad,2016,premium unleaded (recommended),220,AUTOMATIC,all wheel drive,Midsize,Wagon,3105,42700,4697000,3
Audi,Cabriolet,1996,regular unleaded,172,AUTOMATIC,front wheel drive,Compact,Convertible,3105,2631,289410,3
Audi,Cabriolet,1997,regular unleaded,172,AUTOMATIC,front wheel drive,Compact,Convertible,3105,2837,312070,3
Audi,Cabriolet,1998,regular unleaded,172,AUTOMATIC,front wheel drive,Compact,Convertible,3105,3137,345070,3
Audi,Coupe,1990,regular unleaded,164,MANUAL,all wheel drive,Compact,2dr Hatchback,3105,2000,220000,3
Audi,Coupe,1991,regular unleaded,164,MANUAL,all wheel drive,Compact,2dr Hatchback,3105,2000,220000,3
Audi,Q3,2015,premium unleaded (recommended),200,AUTOMATIC,front wheel drive,Compact,4dr SUV,3105,32500,3575000,3
Audi,Q3,2016,premium unleaded (recommended),200,AUTOMATIC,front wheel drive,Compact,4dr SUV,3105,38600,4246000,3
Audi,Q3,2017,premium unleaded (recommended),200,AUTOMATIC,front wheel drive,Compact,4dr SUV,3105,34500,3795000,3
Audi,Q5,2015,premium unleaded (required),272,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,52900,5819000,3
Audi,Q5,2015,diesel,240,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,47500,5225000,3
Audi,Q5,2015,premium unleaded (required),245,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,51900,5709000,3
Audi,Q5,2015,premium unleaded (required),220,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,42200,4642000,4.4
Audi,Q5,2016,premium unleaded (required),272,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,53500,5885000,3.3
Audi,Q5,2016,premium unleaded (required),220,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,40900,4499000,4.4
Audi,Q5,2016,premium unleaded (required),245,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,52500,5775000,4.4
Audi,Q5,2016,diesel,240,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,48100,5291000,4.4
Audi,Q5,2017,premium unleaded (required),272,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,53200,5852000,4.4
Audi,Q5,2017,flex-fuel (premium unleaded recommended/E85),220,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,40900,4499000,4.4
Audi,Q7,2014,diesel,240,AUTOMATIC,all wheel drive,Large,4dr SUV,3105,64900,7139000,3
Audi,Q7,2014,premium unleaded (required),333,AUTOMATIC,all wheel drive,Large,4dr SUV,3105,60900,6699000,1.5
Audi,Q7,2014,premium unleaded (required),280,AUTOMATIC,all wheel drive,Large,4dr SUV,3105,47700,5247000,1.5
Audi,Q7,2015,premium unleaded (required),333,AUTOMATIC,all wheel drive,Large,4dr SUV,3105,61900,6809000,1.5
Audi,Q7,2015,diesel,240,AUTOMATIC,all wheel drive,Large,4dr SUV,3105,53400,5874000,1.5
Audi,Q7,2015,premium unleaded (required),280,AUTOMATIC,all wheel drive,Large,4dr SUV,3105,54800,6028000,2.9
Audi,Q7,2017,premium unleaded (required),333,AUTOMATIC,all wheel drive,Large,4dr SUV,3105,58800,6468000,2.9
Audi,R8,2014,premium unleaded (required),525,MANUAL,all wheel drive,Compact,Convertible,3105,164700,18117000,2.9
Audi,R8,2014,premium unleaded (required),430,MANUAL,all wheel drive,Compact,Convertible,3105,128400,14124000,2.9
Audi,R8,2014,premium unleaded (required),550,AUTOMATED_MANUAL,all wheel drive,Compact,Coupe,3105,179645,19760950,2.9
Audi,R8,2015,premium unleaded (required),550,AUTOMATED_MANUAL,all wheel drive,Compact,Convertible,3105,199600,21956000,2.9
Audi,R8,2015,premium unleaded (required),430,AUTOMATED_MANUAL,all wheel drive,Compact,Convertible,3105,138400,15224000,2.9
Audi,R8,2015,premium unleaded (required),525,MANUAL,all wheel drive,Compact,Convertible,3105,166100,18271000,2.9
Audi,R8,2015,premium unleaded (required),570,AUTOMATED_MANUAL,all wheel drive,Compact,Coupe,3105,199900,21989000,2.9
Audi,R8,2017,premium unleaded (required),540,AUTOMATED_MANUAL,all wheel drive,Compact,Coupe,3105,162900,17919000,3
Audi,R8,2017,premium unleaded (required),610,AUTOMATED_MANUAL,all wheel drive,Compact,Coupe,3105,189900,20889000,3
Audi,RS 4,2007,premium unleaded (required),420,MANUAL,all wheel drive,Compact,Sedan,3105,66000,7260000,3
Audi,RS 4,2008,premium unleaded (required),420,MANUAL,all wheel drive,Compact,Convertible,3105,81900,9009000,3
Audi,RS 5,2013,premium unleaded (required),450,AUTOMATED_MANUAL,all wheel drive,Midsize,Convertible,3105,77900,8569000,3
Audi,RS 5,2014,premium unleaded (required),450,AUTOMATED_MANUAL,all wheel drive,Midsize,Coupe,3105,69600,7656000,3
Audi,RS 5,2015,premium unleaded (required),450,AUTOMATED_MANUAL,all wheel drive,Midsize,Convertible,3105,79200,8712000,1.5
Audi,RS 6,2003,premium unleaded (required),450,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,82700,9097000,1.5
Audi,RS 7,2015,premium unleaded (required),560,AUTOMATIC,all wheel drive,Large,Sedan,3105,106500,11715000,1.5
Audi,RS 7,2016,premium unleaded (required),560,AUTOMATIC,all wheel drive,Large,Sedan,3105,108900,11979000,5
Audi,RS 7,2017,premium unleaded (required),560,AUTOMATIC,all wheel drive,Large,Sedan,3105,110700,12177000,5
Audi,S3,2015,premium unleaded (required),292,AUTOMATED_MANUAL,all wheel drive,Compact,Sedan,3105,41100,4521000,5
Audi,S3,2016,premium unleaded (required),292,AUTOMATED_MANUAL,all wheel drive,Compact,Sedan,3105,42500,4675000,5
Audi,S3,2017,premium unleaded (required),292,AUTOMATED_MANUAL,all wheel drive,Compact,Sedan,3105,48400,5324000,5
Audi,S4,2014,premium unleaded (required),333,AUTOMATED_MANUAL,all wheel drive,Midsize,Sedan,3105,49500,5445000,5
Audi,S4,2015,premium unleaded (required),333,MANUAL,all wheel drive,Midsize,Sedan,3105,48400,5324000,5
Audi,S4,2016,premium unleaded (required),333,AUTOMATED_MANUAL,all wheel drive,Midsize,Sedan,3105,56100,6171000,5
Audi,S5,2016,premium unleaded (required),333,AUTOMATED_MANUAL,all wheel drive,Midsize,Convertible,3105,67350,7408500,5
Audi,S5,2017,premium unleaded (required),333,MANUAL,all wheel drive,Midsize,Coupe,3105,53100,5841000,5
Audi,S6,2015,premium unleaded (required),420,AUTOMATED_MANUAL,all wheel drive,Midsize,Sedan,3105,75500,8305000,5
Audi,S6,2016,premium unleaded (required),450,AUTOMATED_MANUAL,all wheel drive,Midsize,Sedan,3105,70900,7799000,5
Audi,S6,2017,premium unleaded (required),450,AUTOMATED_MANUAL,all wheel drive,Midsize,Sedan,3105,74100,8151000,1.6
Audi,S7,2015,premium unleaded (required),420,AUTOMATED_MANUAL,all wheel drive,Large,Sedan,3105,82500,9075000,1.6
Audi,S7,2016,premium unleaded (required),450,AUTOMATED_MANUAL,all wheel drive,Large,Sedan,3105,82900,9119000,1.6
Audi,S7,2017,premium unleaded (required),450,AUTOMATED_MANUAL,all wheel drive,Large,Sedan,3105,82900,9119000,1.6
Audi,S8,2015,premium unleaded (required),520,AUTOMATIC,all wheel drive,Large,Sedan,3105,114900,12639000,1.6
Audi,S8,2016,premium unleaded (required),520,AUTOMATIC,all wheel drive,Large,Sedan,3105,114900,12639000,1.6
Audi,S8,2016,premium unleaded (required),605,AUTOMATIC,all wheel drive,Large,Sedan,3105,114900,12639000,1.6
Audi,S8,2017,premium unleaded (recommended),605,AUTOMATIC,all wheel drive,Large,Sedan,3105,115900,12749000,1.6
Audi,SQ5,2015,premium unleaded (required),354,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,52700,5797000,1.6
Audi,SQ5,2016,premium unleaded (required),354,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,53300,5863000,1.6
Audi,SQ5,2017,premium unleaded (required),354,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3105,60800,6688000,5
Audi,TT RS,2012,premium unleaded (required),360,MANUAL,all wheel drive,Compact,Coupe,3105,56850,6253500,5
Audi,TT RS,2013,premium unleaded (required),360,MANUAL,all wheel drive,Compact,Coupe,3105,57200,6292000,5
Audi,TT,2015,premium unleaded (recommended),211,AUTOMATED_MANUAL,all wheel drive,Compact,Convertible,3105,43350,4768500,5
Audi,TT,2016,premium unleaded (recommended),220,AUTOMATED_MANUAL,all wheel drive,Compact,Coupe,3105,42900,4719000,5
Audi,TT,2017,premium unleaded (recommended),220,AUTOMATED_MANUAL,all wheel drive,Compact,Convertible,3105,47000,5170000,5
Audi,TTS,2015,premium unleaded (required),265,AUTOMATED_MANUAL,all wheel drive,Compact,Convertible,3105,51700,5687000,5
Audi,TTS,2016,premium unleaded (required),292,AUTOMATED_MANUAL,all wheel drive,Compact,Coupe,3105,51900,5709000,5
Audi,TTS,2017,premium unleaded (required),292,AUTOMATED_MANUAL,all wheel drive,Compact,Coupe,3105,52500,5775000,5
Audi,V8,1992,regular unleaded,276,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,2000,220000,2.3
Audi,V8,1993,regular unleaded,276,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,2149,236390,2.3
Audi,V8,1994,regular unleaded,276,AUTOMATIC,all wheel drive,Midsize,Sedan,3105,2239,246290,2.3
Audi,1 Series,2011,premium unleaded (required),300,MANUAL,rear wheel drive,Compact,Convertible,3916,40650,4471500,2.3
Audi,1 Series,2012,premium unleaded (required),230,MANUAL,rear wheel drive,Compact,Convertible,3916,36900,4059000,2.3
Audi,1 Series,2013,premium unleaded (required),320,MANUAL,rear wheel drive,Compact,Coupe,3916,43550,4790500,2.3
Audi,2 Series,2016,premium unleaded (required),320,AUTOMATIC,rear wheel drive,Compact,Convertible,3916,50750,5582500,1.6
Audi,2 Series,2017,premium unleaded (recommended),335,AUTOMATIC,all wheel drive,Compact,Coupe,3916,46450,5109500,1.6
Audi,3 Series Gran Turismo,2015,premium unleaded (required),300,AUTOMATIC,all wheel drive,Midsize,4dr Hatchback,3916,47250,5197500,1.6
Audi,3 Series Gran Turismo,2015,premium unleaded (required),240,AUTOMATIC,all wheel drive,Midsize,4dr Hatchback,3916,41850,4603500,1.6
Audi,3 Series Gran Turismo,2016,premium unleaded (required),240,AUTOMATIC,all wheel drive,Midsize,4dr Hatchback,3916,43000,4730000,1.6
Audi,3 Series Gran Turismo,2016,premium unleaded (required),300,AUTOMATIC,all wheel drive,Midsize,4dr Hatchback,3916,49200,5412000,1.6
Audi,3 Series Gran Turismo,2017,premium unleaded (required),320,AUTOMATIC,all wheel drive,Midsize,4dr Hatchback,3916,49650,5461500,1.6
Audi,3 Series Gran Turismo,2017,premium unleaded (required),248,AUTOMATIC,all wheel drive,Midsize,4dr Hatchback,3916,43950,4834500,1.6
Audi,3 Series,2015,premium unleaded (required),241,AUTOMATIC,all wheel drive,Midsize,Wagon,3916,41950,4614500,2.4
Audi,3 Series,2015,premium unleaded (required),335,AUTOMATIC,rear wheel drive,Midsize,Sedan,3916,50150,5516500,2.4
Audi,3 Series,2015,premium unleaded (required),240,AUTOMATIC,rear wheel drive,Midsize,Sedan,3916,37500,4125000,2.4
Audi,3 Series,2015,premium unleaded (required),300,AUTOMATIC,rear wheel drive,Midsize,Sedan,3916,43750,4812500,1.5
Audi,3 Series,2015,diesel,180,AUTOMATIC,rear wheel drive,Midsize,Sedan,3916,39000,4290000,1.5
Audi,3 Series,2016,diesel,180,AUTOMATIC,all wheel drive,Midsize,Sedan,3916,41850,4603500,1.5
Audi,3 Series,2016,premium unleaded (required),320,AUTOMATIC,all wheel drive,Midsize,Sedan,3916,47800,5258000,1.4
Audi,3 Series,2016,premium unleaded (required),240,AUTOMATIC,rear wheel drive,Midsize,Sedan,3916,38350,4218500,1.4
Audi,3 Series,2017,premium unleaded (recommended),248,AUTOMATIC,rear wheel drive,Midsize,Sedan,3916,38750,4262500,1.4
Audi,3 Series,2017,premium unleaded (recommended),180,AUTOMATIC,all wheel drive,Midsize,Sedan,3916,35450,3899500,1.8
Audi,3 Series,2017,premium unleaded (recommended),320,AUTOMATIC,all wheel drive,Midsize,Sedan,3916,49900,5489000,1.8
Audi,4 Series Gran Coupe,2015,premium unleaded (required),240,AUTOMATIC,all wheel drive,Midsize,Sedan,3916,42300,4653000,1.8
Audi,4 Series Gran Coupe,2015,premium unleaded (required),300,AUTOMATIC,rear wheel drive,Midsize,Sedan,3916,45800,5038000,3.3
Audi,4 Series Gran Coupe,2016,premium unleaded (required),240,AUTOMATIC,all wheel drive,Midsize,Sedan,3916,43650,4801500,3.3
Audi,4 Series Gran Coupe,2016,premium unleaded (required),300,AUTOMATIC,all wheel drive,Midsize,Sedan,3916,49950,5494500,3.3
Audi,4 Series Gran Coupe,2017,premium unleaded (recommended),320,AUTOMATIC,rear wheel drive,Midsize,Sedan,3916,48300,5313000,2
Audi,4 Series Gran Coupe,2017,premium unleaded (recommended),248,AUTOMATIC,all wheel drive,Midsize,Sedan,3916,43950,4834500,2
Audi,4 Series,2015,premium unleaded (required),300,AUTOMATIC,all wheel drive,Midsize,Convertible,3916,56900,6259000,2
Audi,4 Series,2015,premium unleaded (required),240,AUTOMATIC,all wheel drive,Midsize,Convertible,3916,50750,5582500,2
Audi,4 Series,2016,premium unleaded (required),240,AUTOMATIC,all wheel drive,Midsize,Convertible,3916,52000,5720000,2
Audi,4 Series,2016,premium unleaded (required),300,AUTOMATIC,all wheel drive,Midsize,Coupe,3916,50150,5516500,2
Audi,4 Series,2017,premium unleaded (recommended),248,AUTOMATIC,rear wheel drive,Midsize,Convertible,3916,50300,5533000,2
Audi,4 Series,2017,premium unleaded (recommended),320,AUTOMATIC,all wheel drive,Midsize,Coupe,3916,50500,5555000,3.3
Audi,5 Series Gran Turismo,2015,premium unleaded (required),300,AUTOMATIC,rear wheel drive,Large,4dr Hatchback,3916,60700,6677000,3.3
Audi,5 Series Gran Turismo,2015,premium unleaded (required),445,AUTOMATIC,all wheel drive,Large,4dr Hatchback,3916,71400,7854000,3.3
Audi,5 Series Gran Turismo,2016,premium unleaded (required),300,AUTOMATIC,all wheel drive,Large,4dr Hatchback,3916,63200,6952000,3.3
BMW,5 Series Gran Turismo,2016,premium unleaded (required),445,AUTOMATIC,all wheel drive,Large,4dr Hatchback,3916,72500,7975000,3.3
BMW,5 Series Gran Turismo,2017,premium unleaded (required),300,AUTOMATIC,all wheel drive,Large,4dr Hatchback,3916,63200,6952000,3.3
BMW,5 Series Gran Turismo,2017,premium unleaded (required),445,AUTOMATIC,all wheel drive,Large,4dr Hatchback,3916,72500,7975000,3.3
BMW,5 Series,2015,premium unleaded (required),443,AUTOMATIC,all wheel drive,Large,Sedan,3916,67200,7392000,3.3
BMW,5 Series,2015,premium unleaded (required),302,AUTOMATIC,all wheel drive,Large,Sedan,3916,57900,6369000,2
BMW,5 Series,2015,diesel,255,AUTOMATIC,rear wheel drive,Large,Sedan,3916,57100,6281000,2
BMW,5 Series,2015,premium unleaded (required),241,AUTOMATIC,all wheel drive,Large,Sedan,3916,52250,5747500,2
BMW,5 Series,2016,diesel,255,AUTOMATIC,rear wheel drive,Large,Sedan,3916,57350,6308500,2
BMW,5 Series,2016,premium unleaded (required),302,AUTOMATIC,all wheel drive,Large,Sedan,3916,58150,6396500,2
BMW,5 Series,2016,premium unleaded (required),240,AUTOMATIC,all wheel drive,Large,Sedan,3916,52500,5775000,4
BMW,5 Series,2016,premium unleaded (required),443,AUTOMATIC,all wheel drive,Large,Sedan,3916,68600,7546000,4
BMW,6 Series Gran Coupe,2015,premium unleaded (required),445,AUTOMATIC,all wheel drive,Large,Sedan,3916,92600,10186000,4
BMW,6 Series Gran Coupe,2015,premium unleaded (required),315,AUTOMATIC,all wheel drive,Large,Sedan,3916,81300,8943000,2
BMW,6 Series Gran Coupe,2016,premium unleaded (required),445,AUTOMATIC,all wheel drive,Large,Sedan,3916,93900,10329000,2
BMW,6 Series Gran Coupe,2016,premium unleaded (required),315,AUTOMATIC,all wheel drive,Large,Sedan,3916,82500,9075000,2
BMW,6 Series Gran Coupe,2017,premium unleaded (required),445,AUTOMATIC,rear wheel drive,Large,Sedan,3916,91200,10032000,6
BMW,6 Series Gran Coupe,2017,premium unleaded (required),315,AUTOMATIC,all wheel drive,Large,Sedan,3916,82800,9108000,6
BMW,6 Series,2015,premium unleaded (required),445,AUTOMATIC,rear wheel drive,Midsize,Convertible,3916,94900,10439000,6
BMW,6 Series,2015,premium unleaded (required),315,AUTOMATIC,all wheel drive,Midsize,Convertible,3916,86600,9526000,6
BMW,6 Series,2016,premium unleaded (required),315,AUTOMATIC,all wheel drive,Midsize,Convertible,3916,87800,9658000,6
BMW,6 Series,2016,premium unleaded (required),445,AUTOMATIC,all wheel drive,Midsize,Convertible,3916,99200,10912000,6
BMW,6 Series,2017,premium unleaded (required),445,AUTOMATIC,all wheel drive,Midsize,Coupe,3916,92000,10120000,6
BMW,6 Series,2017,premium unleaded (required),315,AUTOMATIC,rear wheel drive,Midsize,Coupe,3916,77600,8536000,6
BMW,7 Series,2015,premium unleaded (required),535,AUTOMATIC,rear wheel drive,Large,Sedan,3916,141200,15532000,6
BMW,7 Series,2015,premium unleaded (required),315,AUTOMATIC,rear wheel drive,Large,Sedan,3916,78000,8580000,3
BMW,7 Series,2015,premium unleaded (required),445,AUTOMATIC,rear wheel drive,Large,Sedan,3916,91000,10010000,3
BMW,7 Series,2015,diesel,255,AUTOMATIC,all wheel drive,Large,Sedan,3916,82500,9075000,3
BMW,7 Series,2016,premium unleaded (required),445,AUTOMATIC,rear wheel drive,Large,Sedan,3916,94400,10384000,3
BMW,7 Series,2016,premium unleaded (required),320,AUTOMATIC,rear wheel drive,Large,Sedan,3916,81300,8943000,3
BMW,7 Series,2017,premium unleaded (required),445,AUTOMATIC,rear wheel drive,Large,Sedan,3916,94600,10406000,3
BMW,7 Series,2017,premium unleaded (required),320,AUTOMATIC,all wheel drive,Large,Sedan,3916,84500,9295000,3
BMW,8 Series,1995,regular unleaded,282,AUTOMATIC,rear wheel drive,Midsize,Coupe,3916,4784,526240,3
BMW,8 Series,1995,regular unleaded,322,AUTOMATIC,rear wheel drive,Midsize,Coupe,3916,5858,644380,3
BMW,8 Series,1995,regular unleaded,372,MANUAL,rear wheel drive,Midsize,Coupe,3916,8488,933680,1.8
BMW,8 Series,1996,regular unleaded,322,AUTOMATIC,rear wheel drive,Midsize,Coupe,3916,6954,764940,1.8
BMW,8 Series,1996,regular unleaded,282,AUTOMATIC,rear wheel drive,Midsize,Coupe,3916,5680,624800,1.8
BMW,8 Series,1997,regular unleaded,322,AUTOMATIC,rear wheel drive,Midsize,Coupe,3916,7624,838640,3
BMW,8 Series,1997,regular unleaded,282,AUTOMATIC,rear wheel drive,Midsize,Coupe,3916,6693,736230,3
BMW,ActiveHybrid 5,2014,premium unleaded (required),335,AUTOMATIC,rear wheel drive,Large,Sedan,3916,61400,6754000,3
BMW,ActiveHybrid 5,2015,premium unleaded (required),335,AUTOMATIC,rear wheel drive,Large,Sedan,3916,61900,6809000,3.3
BMW,ActiveHybrid 5,2016,premium unleaded (required),335,AUTOMATIC,rear wheel drive,Large,Sedan,3916,62100,6831000,3.3
BMW,ActiveHybrid 7,2013,premium unleaded (required),350,AUTOMATIC,rear wheel drive,Large,Sedan,3916,84300,9273000,3.3
BMW,ActiveHybrid 7,2014,premium unleaded (required),350,AUTOMATIC,rear wheel drive,Large,Sedan,3916,84300,9273000,3.5
BMW,ActiveHybrid 7,2015,premium unleaded (required),335,AUTOMATIC,rear wheel drive,Large,Sedan,3916,84300,9273000,3.5
BMW,ActiveHybrid X6,2010,premium unleaded (required),480,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3916,88900,9779000,3.5
BMW,ActiveHybrid X6,2011,premium unleaded (required),480,AUTOMATIC,all wheel drive,Midsize,4dr SUV,3916,88900,9779000,3
BMW,ALPINA B6 Gran Coupe,2015,premium unleaded (required),540,AUTOMATIC,all wheel drive,Large,Sedan,3916,117300,12903000,3
BMW,ALPINA B6 Gran Coupe,2016,premium unleaded (required),600,AUTOMATIC,all wheel drive,Large,Sedan,3916,122200,13442000,3
BMW,ALPINA B6 Gran Coupe,2017,premium unleaded (required),600,AUTOMATIC,all wheel drive,Large,Sedan,3916,122500,13475000,3.5
BMW,ALPINA B7,2014,premium unleaded (required),540,AUTOMATIC,all wheel drive,Large,Sedan,3916,135200,14872000,3.5
BMW,ALPINA B7,2015,premium unleaded (required),540,AUTOMATIC,rear wheel drive,Large,Sedan,3916,132200,14542000,3.5
BMW,ALPINA B7,2017,premium unleaded (required),600,AUTOMATIC,all wheel drive,Large,Sedan,3916,137000,15070000,6.3
BMW,Alpina,2003,premium unleaded (required),375,AUTOMATIC,rear wheel drive,Compact,Convertible,3916,136900,15059000,6.3
BMW,i3,2015,electric,170,DIRECT_DRIVE,rear wheel drive,Compact,4dr Hatchback,3916,42400,4664000,6.3
BMW,i3,2016,electric,170,DIRECT_DRIVE,rear wheel drive,Compact,4dr Hatchback,3916,42400,4664000,4.3
